id,year,title,authors,venue,type,doi,url,tags
wehner2024rca,2024,Interactive and Intelligent Root Cause Analysis in Manufacturing with Causal Bayesian Networks and Knowledge Graphs,"Wehner, C.; Kertel, M.; Wewerka, J.",arXiv,preprint,10.48550/arXiv.2402.00043,https://doi.org/10.48550/arXiv.2402.00043,root-cause; quality-control
woods2024iofmaint,2024,IOF-Maint - Modular maintenance ontology,"Woods, C.; Selway, M.; Stumptner, M.; Hodkiewicz, M.; et al.",arXiv,preprint,10.48550/arXiv.2404.05224,https://doi.org/10.48550/arXiv.2404.05224,ontology; standards; predictive-maintenance
xia2024aasllm,2024,Generation of Asset Administration Shell with Large Language Model Agents: Toward Semantic Interoperability in Digital Twins in the Context of Industry 4.0,"Xia, Y.; et al.",arXiv,preprint,10.48550/arXiv.2403.17209,https://doi.org/10.48550/arXiv.2403.17209,llm-rag; standards; digital-twin; interoperability
xiao2024assembly,2024,An assembly process planning pipeline for industrial electronic equipment based on knowledge graph with bidirectional extracted knowledge from historical process documents,"Xiao, Y.; Zheng, S.; Leng, J.; Gao, R.; Fu, Z.; Hong, J.",Journal of Intelligent Manufacturing,journal,10.1007/s10845-024-02423-1,https://doi.org/10.1007/s10845-024-02423-1,process-planning; kg-construction
drobnjakovic2023ontostandards,2023,Recent Developments in Ontology Standards and Their Applicability to Biomanufacturing,"Drobnjakovic, M.; Kulvatunyou, B.; Frechette, S.; Srinivasan, V.",ASME IDETC-CIE (CIE Conference),conference,10.1115/DETC2023-116866,https://doi.org/10.1115/DETC2023-116866,ontology; standards; interoperability
xiao2023processplanning,2023,Knowledge graph-based manufacturing process planning: A state-of-the-art review,"Xiao, Y.; Zheng, S.; Shi, J.; Du, X.; Hong, J.",Journal of Manufacturing Systems,journal,10.1016/j.jmsy.2023.08.006,https://doi.org/10.1016/j.jmsy.2023.08.006,survey; process-planning
alam2022special,2022,Special Issue on Machine Learning and Knowledge Graphs,"Alam, M.; Fensel, A.; Martinez-Gil, J.; et al.",Future Generation Computer Systems,journal,10.1016/j.future.2021.11.022,https://doi.org/10.1016/j.future.2021.11.022,survey; gnn-embedding
bachhofner2022bpmn,2022,Automated Process Knowledge Graph Construction from BPMN Models,"Bachhofner, S.; Kiesling, E.; Revoredo, K.; et al.",DaWaK 2022 (Springer LNCS),chapter,10.1007/978-3-031-12423-5_3,https://doi.org/10.1007/978-3-031-12423-5_3,kg-construction; process-planning
bachhofner2022machine,2022,Knowledge Graph Supported Machine Parameterization for the Injection Moulding Industry,"Bachhofner, S.; Kurniawan, K.; Kiesling, E.; et al.",Springer LNCS,chapter,10.1007/978-3-031-21422-6_8,https://doi.org/10.1007/978-3-031-21422-6_8,process-optimization; kg-construction
chhetri2022bayesian,2022,Optimising Manufacturing Process with Bayesian Structure Learning and Knowledge Graphs,"Chhetri, T. R.; Aghaei, S.; Fensel, A.; et al.",EUROCAST 2022 (Springer LNCS),chapter,10.1007/978-3-031-25312-6_70,https://doi.org/10.1007/978-3-031-25312-6_70,process-optimization; root-cause
freudenthaler2022kinet,2022,KI-Net: AI-Based Optimization in Industrial Manufacturing - A Project Overview,"Freudenthaler, B.; Martinez-Gil, J.; Fensel, A.; et al.",EUROCAST 2022 (Springer LNCS),chapter,10.1007/978-3-031-25312-6_65,https://doi.org/10.1007/978-3-031-25312-6_65,interoperability; kg-construction
hoch2022teamingai,2022,Teaming.AI: Enabling Human-AI Teaming Intelligence in Manufacturing,"Hoch, T.; Heinzl, B.; Czech, G.; et al.",CEUR Workshop Proceedings (Vol-3214),workshop,,https://ceur-ws.org/Vol-3214/WS5Paper6.pdf,human-ai; interoperability
kumar2022fabkg,2022,FabKG: A Knowledge graph of Manufacturing Science domain utilizing structured and unconventional sources,"Kumar, A.; Bharadwaj, A. G.; Starly, B.; et al.",arXiv,preprint,10.48550/arXiv.2206.10318,https://doi.org/10.48550/arXiv.2206.10318,kg-construction; materials
liu2022iiot,2022,A knowledge graph-based data representation approach for IIoT-enabled cognitive manufacturing,"Liu, M.; Li, X.; Li, J.; et al.",Advanced Engineering Informatics,journal,10.1016/j.aei.2021.101515,https://doi.org/10.1016/j.aei.2021.101515,iiot; kg-construction
martinezgil2022rca,2022,Root Cause Analysis in the Industrial Domain using Knowledge Graphs: A Case Study on Power Transformers,"Martinez-Gil, J.; Buchgeher, G.; Gabauer, D.; et al.",Procedia Computer Science,journal,10.1016/j.procs.2022.01.292,https://doi.org/10.1016/j.procs.2022.01.292,root-cause
wang2022industrydesign,2022,A novel knowledge graph development for industry design: A case study on indirect coal liquefaction process,"Wang, Z.; Zhang, B.; Gao, D.",Computers in Industry,journal,10.1016/j.compind.2022.103647,https://doi.org/10.1016/j.compind.2022.103647,product-design; kg-construction
bachhofner2021modularization,2021,Knowledge Graph Modularization for Cyber-Physical Production Systems,"Bachhofner, S.; Kiesling, E.; Kurniawan, K.; et al.",CEUR Workshop Proceedings (Vol-2980),workshop,,https://ceur-ws.org/Vol-2980/paper333.pdf,cps; ontology
buchgeher2021slr,2021,Knowledge Graphs in Manufacturing and Production: A Systematic Literature Review,"Buchgeher, G.; Gabauer, D.; Martinez-Gil, J.; Ehrlinger, L.",IEEE Access,journal,10.1109/ACCESS.2021.3070395,https://doi.org/10.1109/ACCESS.2021.3070395,survey
ko2021designrule,2021,Machine learning and knowledge graph based design rule construction for additive manufacturing,"Ko, H.; Witherell, P.; Lu, Y.; et al.",Additive Manufacturing,journal,10.1016/j.addma.2020.101620,https://doi.org/10.1016/j.addma.2020.101620,additive-manufacturing; product-design
meckler2021inference,2021,Building a Knowledge Graph with Inference for a Production Machine using the Web of Things Standard,"Meckler, S.; Steinmuller, H.; Harth, A.",Springer LNCS,chapter,10.1007/978-3-030-79463-7_20,https://doi.org/10.1007/978-3-030-79463-7_20,kg-construction; cps
rozanec2021xaikg,2021,XAI-KG: knowledge graph to support XAI and decision-making in manufacturing,"Rozanec, J. M.; Zajec, P.; Kenda, K.; et al.",ESWC 2021 (Springer LNCS),chapter,10.1007/978-3-030-79022-6_14,https://doi.org/10.1007/978-3-030-79022-6_14,explainability; quality-control
zhou2021resource,2021,A novel knowledge graph-based optimization approach for resource allocation in discrete manufacturing workshops,"Zhou, B.; Bao, J.; Li, J.; et al.",Robotics and Computer-Integrated Manufacturing,journal,10.1016/j.rcim.2021.102160,https://doi.org/10.1016/j.rcim.2021.102160,resource-allocation; process-optimization
bader2020i40,2020,The International Data Spaces Information Model - An Ontology for Sovereign Exchange of Digital Content / A knowledge graph for industry 4.0,"Bader, S. R.; Grangel-Gonzalez, I.; Nanjappa, P.; et al.",ESWC 2020 (Springer LNCS),chapter,10.1007/978-3-030-49461-2_27,https://doi.org/10.1007/978-3-030-49461-2_27,kg-construction; interoperability
kalayci2020bosch,2020,Semantic Integration of Bosch Manufacturing Data Using Knowledge Graphs,"Kalayci, E. G.; Grangel Gonzalez, I.; Losch, F.; et al.",ISWC 2020 (Springer LNCS),chapter,10.1007/978-3-030-62466-8_29,https://doi.org/10.1007/978-3-030-62466-8_29,interoperability; iiot
li2020spss,2020,A knowledge graph-aided concept-knowledge approach for evolutionary smart product-service system development,"Li, X.; Chen, C.-H.; Zheng, P.; et al.",Journal of Mechanical Design (ASME),journal,10.1115/1.4046807,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/142/10/101403/1082189,product-design
nayak2020testcases,2020,Knowledge Graph based Automated Generation of Test Cases in Software Engineering,"Nayak, A.; Kesri, V.; Dubey, R. K.",ACM (CoDS-COMAD),conference,10.1145/3371158.3371202,https://doi.org/10.1145/3371158.3371202,kg-construction
yan2020knowime,2020,KnowIME: A System to Construct a Knowledge Graph for Intelligent Manufacturing Equipment,"Yan, H.; Yang, J.; Wan, J.",IEEE Access,journal,10.1109/ACCESS.2020.2977136,https://doi.org/10.1109/ACCESS.2020.2977136,kg-construction
